D:\ProgramData\Anaconda3\envs\myenvs\python.exe E:/machine_learning/recurrent_nerual_network/rnnlm.py
| epoch 2 |  iter 341 / 1327 | time 419[s] | perplexity 509.27
| epoch 2 |  iter 361 / 1327 | time 424[s] | perplexity 553.92
| epoch 2 |  iter 381 / 1327 | time 430[s] | perplexity 498.24
| epoch 2 |  iter 401 / 1327 | time 435[s] | perplexity 505.76
| epoch 2 |  iter 421 / 1327 | time 441[s] | perplexity 514.60
| epoch 2 |  iter 441 / 1327 | time 446[s] | perplexity 495.04
| epoch 2 |  iter 461 / 1327 | time 451[s] | perplexity 484.94
| epoch 2 |  iter 481 / 1327 | time 457[s] | perplexity 486.31
| epoch 2 |  iter 501 / 1327 | time 462[s] | perplexity 497.49
| epoch 2 |  iter 521 / 1327 | time 467[s] | perplexity 505.42
| epoch 2 |  iter 541 / 1327 | time 473[s] | perplexity 510.86
| epoch 2 |  iter 561 / 1327 | time 478[s] | perplexity 491.55
| epoch 2 |  iter 581 / 1327 | time 484[s] | perplexity 464.67
| epoch 2 |  iter 601 / 1327 | time 490[s] | perplexity 600.11
| epoch 2 |  iter 621 / 1327 | time 496[s] | perplexity 546.29
| epoch 2 |  iter 641 / 1327 | time 501[s] | perplexity 499.91
| epoch 2 |  iter 661 / 1327 | time 507[s] | perplexity 494.65
| epoch 2 |  iter 681 / 1327 | time 512[s] | perplexity 430.60
| epoch 2 |  iter 701 / 1327 | time 518[s] | perplexity 468.57
| epoch 2 |  iter 721 / 1327 | time 524[s] | perplexity 487.65
| epoch 2 |  iter 741 / 1327 | time 530[s] | perplexity 433.97
| epoch 2 |  iter 761 / 1327 | time 536[s] | perplexity 456.57
| epoch 2 |  iter 781 / 1327 | time 542[s] | perplexity 446.35
| epoch 2 |  iter 801 / 1327 | time 547[s] | perplexity 460.08
| epoch 2 |  iter 821 / 1327 | time 553[s] | perplexity 455.93
| epoch 2 |  iter 841 / 1327 | time 559[s] | perplexity 467.95
| epoch 2 |  iter 861 / 1327 | time 564[s] | perplexity 489.03
| epoch 2 |  iter 881 / 1327 | time 569[s] | perplexity 443.73
| epoch 2 |  iter 901 / 1327 | time 575[s] | perplexity 483.09
| epoch 2 |  iter 921 / 1327 | time 581[s] | perplexity 494.01
| epoch 2 |  iter 941 / 1327 | time 586[s] | perplexity 475.81
| epoch 2 |  iter 961 / 1327 | time 592[s] | perplexity 504.66
| epoch 2 |  iter 981 / 1327 | time 598[s] | perplexity 485.88
| epoch 2 |  iter 1001 / 1327 | time 604[s] | perplexity 452.05
| epoch 2 |  iter 1021 / 1327 | time 610[s] | perplexity 487.94
| epoch 2 |  iter 1041 / 1327 | time 616[s] | perplexity 467.36
| epoch 2 |  iter 1061 / 1327 | time 621[s] | perplexity 456.05
| epoch 2 |  iter 1081 / 1327 | time 626[s] | perplexity 426.64
| epoch 2 |  iter 1101 / 1327 | time 632[s] | perplexity 449.49
| epoch 2 |  iter 1121 / 1327 | time 638[s] | perplexity 526.48
| epoch 2 |  iter 1141 / 1327 | time 643[s] | perplexity 480.65
| epoch 2 |  iter 1161 / 1327 | time 649[s] | perplexity 468.03
| epoch 2 |  iter 1181 / 1327 | time 655[s] | perplexity 456.89
| epoch 2 |  iter 1201 / 1327 | time 661[s] | perplexity 397.85
| epoch 2 |  iter 1221 / 1327 | time 667[s] | perplexity 395.59
| epoch 2 |  iter 1241 / 1327 | time 672[s] | perplexity 483.77
| epoch 2 |  iter 1261 / 1327 | time 678[s] | perplexity 423.91
| epoch 2 |  iter 1281 / 1327 | time 684[s] | perplexity 463.61
| epoch 2 |  iter 1301 / 1327 | time 690[s] | perplexity 535.03
| epoch 2 |  iter 1321 / 1327 | time 696[s] | perplexity 499.22
| epoch 3 |  iter 1 / 1327 | time 698[s] | perplexity 521.27
| epoch 3 |  iter 21 / 1327 | time 704[s] | perplexity 509.78
| epoch 3 |  iter 41 / 1327 | time 709[s] | perplexity 499.34
| epoch 3 |  iter 61 / 1327 | time 715[s] | perplexity 448.45
| epoch 3 |  iter 81 / 1327 | time 721[s] | perplexity 455.05
| epoch 3 |  iter 101 / 1327 | time 727[s] | perplexity 411.32
